,sentence,label,title
0,"Срыв сроков строительства зоопарка оценили в 1 млрд рублей Управление капстроительства намерено взыскать в арбитраже 1 млрд руб. с АО ""РЖДстрой"" в качестве неустойки за срыв срока сдачи первой очереди зоопарка.",1,Срыв сроков строительства зоопарка оценили в 1 млрд рублей
1,"По данным Генпрокуратуры РФ, в 2014-2018 годах выявили 17 тысяч различных нарушений - хищение бюджетных средств, затягивание сроков строительства, невыплата зарплат и другие факты, происходившие при возведении космодрома.",1,По данным Генпрокуратуры РФ в 2014 году выявили 17 тысяч различных
2,"Обвиняли в этом столичный акимат, который сорвал сроки строительства первого и второго пусковых комплексов первой очереди газораспределительных сетей.",1,"Обвиняли столичный акимат, который сорвал сроки строительства первого"
3,Запуск циклотронного центра ядерной медицины на базе УрФУ откладывается из-за неоконченных пуско-наладочных работ канадского циклотрона TR-24.,1,Запуск циклотронного центра ядерной медицины на базе УрФУ отклад
4,Сроки сдачи объекта несколько раз переносились.,1,Сроки сдачи объекта несколько раз переносились.
5,"Построить последний ее участок - северный обход Твери - планируется не ранее 2021 г. Завершить работы по строительству трассы первоначально планировалось к началу чемпионата мира по футболу 2018 г., но сроки неоднократно переносились.",1,Построить последний участок трассы Твери планируется не ранее 2021 г
6,"История последнего долгостроя тянулась на протяжении десяти лет, строительство двух других ""заморозили"" ещё три года назад.",1,"Строительство двух других ""заморозили"" ещё три года назад"
7,"$CUT$ Поднять эту тему на оперативном совещании в правительстве региона губернатора заставил пример Первомайского района области, где Глеб Никитин побывал с рабочим визитом: муниципалитет Первомайска расторг договор с компанией, срывавшей сроки строительства детского сада.",1,Глеб Никитин побывал с рабочим визитом в Первомайске
8,"Изначально планировалось ввести дорогу в 2018 году к чемпионату мира по футболу, который проходил в России, однако строители не успевали сдать отчетные документы по части работ, а также столкнулись с археологическими находками в Ленинградской области, что еще на несколько месяцев задержало стройку.",1,Изначально планировалось ввести дорогу к чемпионату мира по футболу в России
9,"С третьим этапом («Рабочая документация и ввод КИСУ в 2018») вышло сложнее: работы были выполнены с нарушением сроков и в ненадлежащем качестве, все недостатки зафиксировали в рекламационных актах.",1,С третьим этапом «Рабочая документация и ввод КИСУ
10,"Работы были остановлены, заказчик начал судебную тяжбу, требуя, чтобы генподрядчик вернул все деньги, потраченные на несданный в срок завод.",1,"Заказчик пытался вернуть все деньги, потраченные на несданный"
11,"Ликвидация «Киров Плазмы» Завод достроен к сроку не был, хотя в марте 2018 года статус единственного поставщика продлили на 2018-2019 годы.",1,«Киров Плазмы» продлили статус единственного поставщика на 2018-2019 годы
12,"Например, строительство системы Crossrail в Лондоне началось в 2009 году с планом открытия в 2018-м, однако сегодня открытие отложено до 2021 года.",1,Строительство системы Crossrail в Лондоне отложено до 2021 года
13,"Кроме того, в созданном 1 июля 2019 года на базе ЕИСЖС Едином реестре проблемных объектов ежедневно обновляется перечень проектов, ввод в эксплуатацию которых задержан на 6 и более месяцев, либо в отношении застройщика введено конкурсное производство или иная процедура в деле о банкротстве.",1,В Едином реестре проблемных объектов ежедневно обновляется перечень проектов
14,"За срыв сроков капитального ремонта школы № 60, которая находится на проспекте Коммунистическом в Ростове-на-Дону, был оштрафован подрядчик.",1,За срыв сроков капитального ремонта школы No 60 был оштрафован под
15,За срыв сроков ремонта школы в Ростове оштрафовали подрядчика,1,За срыв сроков ремонта школы в Ростове оштрафовали подряд
16,"Наблюдательный совет ассоциации ""НП Совет рынка"" (регулятора энергорынков в РФ) принял решение, как и месяцем ранее, оштрафовать компании ""Квадра"" и ""Русгидро"" за просрочку ввода в эксплуатацию энергоблока Воронежской ТЭЦ-1 и Зарамагской ГЭС-1 соответственно, говорится в сообщении ассоциации.",1,"""НП Совет рынка"" оштрафовал компании ""Квадра"" и"
17,"Стоит отметить, сейчас долгостроем считается любой строящий многоквартирный дом, если срок завершения его строительства нарушен более чем на полгода, передача объекта дольщику просрочена более чем на шесть месяцев или застройщик признан банкротом.",1,"Сейчас долгостроем считается любой строящий дом, если срок заверш"
18,"""Совет рынка"" снова оштрафовал ""Русгидро"" и ""Квадру"" за просрочку ввода мощностей",1,"""Совет рынка"" снова оштрафовал ""Русгидро"" и """
19,"В пгт Чкаловское за год так и не смогли сдать в эксплуатацию три из четырех миникотельных, потому что на завершение строительства не нашлось 6 млн грн.",1,В пгт Чкаловское за год так и не смогли сдать в эксплуатацию
20,"В судебном документе поясняется со ссылкой на ""Республиканскую службу единого заказчика"", что срок выполнения подрядных работ - до 1 октября 2016 года, ""однако до настоящего времени работы в полном объеме не выполнены, ввод объекта в эксплуатацию не обеспечен"".",1,"В судебном документе поясняется, что срок выполнения подрядных работ"
21,"Никитин привел пример Первомайска, где муниципалитет расторг договор с компанией, которая срывала сроки сдачи объекта Строительство детсада на 80 мест, на которое в рамках нацпроекта ""Демография"" выделили более 70 млн рублей из бюджетов всех уровней, началось почти год назад.",1,"Никитин привел пример Первомайска, где муниципалитет расторг договор с"
22,"Сбор объективной информации и детальный анализ исполнения нацпроектов в муниципальных образованиях области важен для оказания помощи в решении проблемных вопросов, если нарушены сроки сдачи объекта или работа сделана некачественно», – сказал депутат Государственной Думы Иван Квитка по итогам рабочей поездки.",1,Сбор объективной информации и детальный анализ исполнения нацпроектов в муниципал
23,"Наблюдательный совет «Совета рынка» принял решение, как и месяцем ранее, оштрафовать компании «Квадра» и « РусГидро » за просрочку ввода в эксплуатацию энергоблока Воронежской ТЭЦ-1 и Зарамагской ГЭС-1 соответственно, говорится в сообщении ассоциации.",1,«Квадра» и «РусГидро» оштрафовали компании «Ква
24,"«Нацимбио» не завершила строительство завода «Киров Плазма» к концу 2018 года без привлечения средств федерального бюджета, что было одним из условий для получения статуса поставщика: срок был перенесен на конец 2019 года.",1,«Нацимбио» не завершила строительство завода «Киров Плазма»
25,"Изначально его запуск планировался на конец 2019 года, однако из-за того, что Дания долго не выдавала разрешение на его строительство в своих территориальных водах, начало пуска проекта сдвинулось.",1,Дания долго не выдавала разрешение на его строительство в своих территориальных вода
